(Doc,Word)
('clueweb12-0000tw-00-00054', 'Fox')
('clueweb12-0000tw-00-00033', 'NEW YORK')
('clueweb12-0000tw-00-00031', 'Discover')
('clueweb12-0000tw-00-00070', 'Starhawk')
('clueweb12-0000tw-00-00067', 'Stephen Windwalker')
('clueweb12-0000tw-00-00082', 'US')
('clueweb12-0000tw-00-00046', 'Flip4Mac')
('clueweb12-0000tw-00-00075', 'Amnesia: The Dark Descent')
('clueweb12-0000tw-00-00077', 'Skyrim')
('clueweb12-0000tw-00-00074', 'Icefrog')
('clueweb12-0000tw-00-00013', 'HIV AIDS')
('clueweb12-0000tw-00-00060', 'New YORK POST')
('clueweb12-0000tw-00-00035', 'CNNMoney')
('clueweb12-0000tw-00-00074', 'Skyrim')
('clueweb12-0000tw-00-00070', 'Spring')
('clueweb12-0000tw-00-00073', 'Jak and Daxter')
('clueweb12-0000tw-00-00024', 'Newspaper')
('clueweb12-0000tw-00-00056', 'X-ray')
('clueweb12-0000tw-00-00076', 'Skyrim')
('clueweb12-0000tw-00-00054', 'Ellen DeGeneres Show')
('clueweb12-0000tw-00-00088', 'UA')
('clueweb12-0000tw-00-00080', 'Readability')
('clueweb12-0000tw-00-00054', 'Raising Hope')
('clueweb12-0000tw-00-00061', 'Gothamist')
('clueweb12-0000tw-00-00060', 'Gothamist')
('clueweb12-0000tw-00-00070', 'Amnesia: The Dark Descent')
('clueweb12-0000tw-00-00038', 'PARIS')
('clueweb12-0000tw-00-00033', 'CNNMoney')
('clueweb12-0000tw-00-00086', 'Trend')
('clueweb12-0000tw-00-00060', 'Nice')
('clueweb12-0000tw-00-00062', 'Occupy Wall Street')
('clueweb12-0000tw-00-00062', 'Gothamist')
('clueweb12-0000tw-00-00071', 'Thunderdome')
('clueweb12-0000tw-00-00028', 'Charlotte')
('clueweb12-0000tw-00-00074', 'Defense of the Ancients')
('clueweb12-0000tw-00-00076', 'Starhawk')
('clueweb12-0000tw-00-00046', 'Internet Service Providers')
('clueweb12-0000tw-00-00007', 'light of the world')
('clueweb12-0000tw-00-00059', 'Verrazano-Narrows Bridge')
('clueweb12-0000tw-00-00058', 'Gothamist')
('clueweb12-0000tw-00-00082', 'Twitter')
('clueweb12-0000tw-00-00054', 'Waiting4U')
('clueweb12-0000tw-00-00064', 'Romance Writers of America')
('clueweb12-0000tw-00-00070', 'Splatter')
('clueweb12-0000tw-00-00061', 'Gen')
('clueweb12-0000tw-00-00084', '4G')
('clueweb12-0000tw-00-00074', 'Dota 2')
('clueweb12-0000tw-00-00089', 'UA')
('clueweb12-0000tw-00-00082', "Men's Health")
('clueweb12-0000tw-00-00074', 'Starcraft 2')
('clueweb12-0000tw-00-00074', 'DOTA 2')
('clueweb12-0000tw-00-00070', 'Frictional Games')
('clueweb12-0000tw-00-00086', 'Save')
('clueweb12-0000tw-00-00070', 'Mass Effect 3')
('clueweb12-0000tw-00-00070', 'Shadow of the Colossus')
('clueweb12-0000tw-00-00077', 'Old Republic')
('clueweb12-0000tw-00-00083', 'BlogSpot')
('clueweb12-0000tw-00-00009', 'World series')
('clueweb12-0000tw-00-00071', 'Pikimal')
('clueweb12-0000tw-00-00083', 'Google')
('clueweb12-0000tw-00-00023', 'Americans')
('clueweb12-0000tw-00-00026', 'Ministry of Health')
('clueweb12-0000tw-00-00050', 'Cook')
('clueweb12-0000tw-00-00086', 'Hootsuite')
('clueweb12-0000tw-00-00034', 'New York Times')
('clueweb12-0000tw-00-00020', 'Healthcare Management')
('clueweb12-0000tw-00-00020', 'Bachelors')
('clueweb12-0000tw-00-00057', 'Southern District of New York')
('clueweb12-0000tw-00-00039', 'Total SA')
('clueweb12-0000tw-00-00070', 'Last Guardian')
('clueweb12-0000tw-00-00057', 'Documentary')
('clueweb12-0000tw-00-00054', 'You Tube')
('clueweb12-0000tw-00-00059', 'Gothamist')
('clueweb12-0000tw-00-00058', 'Surgeon General')
('clueweb12-0000tw-00-00057', 'Post')
('clueweb12-0000tw-00-00072', 'Skyrim')
('clueweb12-0000tw-00-00075', 'Old Republic')
('clueweb12-0000tw-00-00069', 'Wiccans')
